,temperature,replicate,combination,richness,inv_community_CV,resist
211,19,2,"Tetra, Dexio",2,2.354139281,-0.00236956
212,19,2,"Tetra, Dexio, Loxo, Para",4,2.164516682,-0.0197178
213,19,2,"Tetra, Dexio, Loxo, Para, Spiro",5,3.119764648,-0.00110357
214,19,2,"Tetra, Dexio, Loxo, Spiro",4,2.485016665,0.002589086
215,19,2,"Tetra, Dexio, Para, Spiro",4,1.42466886,-0.009736561
216,19,2,"Tetra, Loxo",2,1.913712295,0.032937093
217,19,2,"Tetra, Loxo, Para",3,1.741404975,-0.023199518
218,19,2,"Tetra, Loxo, Para, Spiro",4,2.532804045,-0.008173378
219,19,2,"Tetra, Para",2,1.64205051,-0.00525197
220,19,2,"Tetra, Para, Dexio",3,1.930295074,-0.003165656
221,19,2,"Tetra, Spiro",2,1.765668635,0.013372174
222,19,3,Colp,1,2.705904973,0.002357073
223,19,3,Dexio,1,1.46477623,0.006353894
224,19,3,Loxo,1,1.695209018,0.006397034
225,19,3,Para,1,1.397861834,0.00198709
226,19,3,Spiro,1,NA,-0.014163007
227,19,3,Tetra,1,NA,-0.015586327
228,19,3,"Tetra, Colp, Dexio, Loxo, Para, Spiro",6,3.953004301,-0.006691266
229,19,4,"Tetra, Colp, Dexio, Loxo, Para, Spiro",6,3.605621084,-0.009772082
230,19,5,"Tetra, Colp, Dexio, Loxo, Para, Spiro",6,3.3647886,-0.00886699
231,21,1,Colp,1,2.629648158,-0.0015005
232,21,1,"Colp, Dexio",2,1.66650466,-0.002686159
233,21,1,"Colp, Dexio, Loxo, Para",4,2.209003079,-0.009861509
234,21,1,"Colp, Dexio, Loxo, Para, Spiro",5,1.779874278,-0.018626592
235,21,1,"Colp, Dexio, Loxo, Spiro",4,2.626022952,-0.007721547
236,21,1,"Colp, Dexio, Para, Spiro",4,1.375193027,-0.009655321
237,21,1,"Colp, Loxo",2,1.576699839,-0.009367947
238,21,1,"Colp, Loxo, Dexio",3,1.974375699,-0.013302347
239,21,1,"Colp, Loxo, Para, Spiro",4,1.744709913,-0.019021103
240,21,1,"Colp, Para",2,NA,-0.0269354
241,21,1,"Colp, Para, Dexio",3,1.78177628,-0.007503603
242,21,1,"Colp, Spiro",2,1.805254419,0.002053376
243,21,1,"Colp, Tetra, Loxo",3,2.321084021,-0.013188484
244,21,1,Dexio,1,0.745791478,-0.001795539
245,21,1,"Dexio, Loxo",2,2.666982863,-0.004128953
246,21,1,"Dexio, Loxo, Para, Spiro",4,4.169027763,-0.011240098
247,21,1,"Dexio, Para",2,0.994940495,-0.004524938
248,21,1,"Dexio, Spiro",2,1.728404475,-0.00181106
249,21,1,Loxo,1,2.292715021,-0.009492465
250,21,1,"Loxo, Para",2,1.445587039,-0.010345548
251,21,1,"Loxo, Spiro",2,2.575453477,-0.000462149
252,21,1,Para,1,0.932925852,-0.004536384
253,21,1,"Para, Spiro",2,1.990449784,-0.0037372
254,21,1,Spiro,1,2.586257696,0.004176891
